Iteration,Model,AUC,Accuracy,Precision,Recall,F1Score,MCC
1,RandomForest,0.8024348849389784,0.7997090203685742,0.8358031539741659,0.9279429878585255,0.8794663331248698,0.3116644918859677
1,XGBoost,0.8245405020944692,0.8091312179576001,0.8364460420411034,0.9417561147281366,0.8859827008235732,0.33487187317526007
1,LogisticRegression,0.8117649169129275,0.8037965913814604,0.8251790885535741,0.9526658455041351,0.8843515191114014,0.2916803108850307
2,RandomForest,0.8035445996351713,0.8026188166828322,0.8414391467006288,0.9250087504375218,0.8812471343420448,0.3171398210288741
2,XGBoost,0.8241276168931533,0.8094776222807261,0.8396743385000783,0.9385719285964298,0.88637302702256,0.3274520057735631
2,LogisticRegression,0.8098210881934649,0.8026880975474574,0.827031559688977,0.9493349667483374,0.883972948749287,0.27438643657631706
3,RandomForest,0.8079473339712353,0.8034501870583345,0.8392091472129586,0.9286530181882084,0.8816684045881126,0.3249498341549348
3,XGBoost,0.8274110058618508,0.8094776222807261,0.8375439968713336,0.9408663562077146,0.8862037573450303,0.3344931152725551
3,LogisticRegression,0.8159098321937026,0.8035194679229597,0.8260206028233499,0.9511466479219752,0.8841787143673936,0.28862004120052903
4,RandomForest,0.8050128605745783,0.8040737148399612,0.8408820496549536,0.9280399194607372,0.8823137744486059,0.3199385863555867
4,XGBoost,0.8234550585522696,0.8107939587086047,0.8388429752066116,0.9418716624354373,0.8873767990432596,0.3298060487532868
4,LogisticRegression,0.8108761992743465,0.805459332132465,0.8285409198383037,0.950976100849164,0.8855465884079238,0.28779724805941015
5,RandomForest,0.8051403958374855,0.804004433975336,0.8406750118840121,0.9284276839618514,0.8823749532243982,0.31763945534978943
5,XGBoost,0.823927542816978,0.8093390605514756,0.837810480417348,0.9414646950739347,0.886618325642716,0.32189290705114476
5,LogisticRegression,0.8121548520133489,0.802549535818207,0.8256281788506794,0.9516143144632077,0.8841557596943338,0.2692046147167038
6,RandomForest,0.8088900330372849,0.8069835111542192,0.8421386138613861,0.9305908096280088,0.8841580041580042,0.3291054483281907
6,XGBoost,0.8272173704997335,0.8150893723153665,0.8404884118836522,0.9459080962800875,0.8900877156858706,0.34423024316605244
6,LogisticRegression,0.8152809841809364,0.8080920049882222,0.8282138794084186,0.9557986870897155,0.8874441284030882,0.29338350331470014
7,RandomForest,0.8032211757806706,0.7988776499930719,0.8333201173578622,0.9291777188328912,0.8786421972325572,0.3177644343769751
7,XGBoost,0.8253342395826612,0.8058750173202162,0.8321361648969394,0.9423519009725906,0.8838212123725018,0.331012714867223
7,LogisticRegression,0.8138735252929037,0.8006096716087017,0.8209989340642607,0.9534040671971706,0.8822614956635576,0.28891751343379213
8,RandomForest,0.804139466320018,0.7992240543161979,0.8337445284520494,0.9283119184758529,0.8784905660377359,0.3258944558602534
8,XGBoost,0.8256142809927773,0.8056671747263406,0.8308364544319601,0.9435533894550288,0.8836147877681423,0.3339254146930046
8,LogisticRegression,0.8136001991194115,0.799293335180823,0.8193238921882138,0.9535666814355339,0.8813628731725296,0.288525468123912
9,RandomForest,0.8051483546508649,0.7999168629624498,0.836386808985184,0.9264160931709899,0.8791024782317481,0.32191084620554494
9,XGBoost,0.827555058431098,0.8084384093113482,0.8351192804067267,0.9420328215987295,0.8853600895559517,0.3382730899362474
9,LogisticRegression,0.815832522185602,0.8002632672855757,0.8221883339687381,0.9513852126345509,0.8820810667102948,0.28378953714728117
10,RandomForest,0.7997110452082835,0.7998475820978246,0.8370929308975378,0.9263426210776128,0.8794592564776569,0.31262880409936367
10,XGBoost,0.820407554004028,0.8098933074684772,0.8367792775220411,0.9426913949195745,0.8865834504422584,0.3346873230342197
10,LogisticRegression,0.8088609640009374,0.8041429957045864,0.8246506682867558,0.9544695438164719,0.8848237930332044,0.28765610616265275
