Iteration,Model,Feature,RelativeImportance
1,RandomForest,Age,0.1056500735139677
1,RandomForest,Sex,0.012602394454946085
1,RandomForest,Race,0.010712035286704353
1,RandomForest,Marital,0.010291955471539386
1,RandomForest,Hist,0.020688930896870166
1,RandomForest,Laterality,0.0056710775047258246
1,RandomForest,Site,0.0019953791220329756
1,RandomForest,Grade,0.02446964923335426
1,RandomForest,TumorSize,0.00651123713505545
1,RandomForest,TStage,0.0
1,RandomForest,NStage,0.0197437513127493
1,RandomForest,MStage,0.005881117412308153
1,RandomForest,DTT,0.017118252467968872
1,RandomForest,Surgery,0.015332913253517913
1,RandomForest,Chemotherapy,0.022684310018903614
1,RandomForest,Radiation,0.01638311279143018
1,XGBoost,Age,0.11367950865438321
1,XGBoost,Sex,0.013623673925180988
1,XGBoost,Race,0.0
1,XGBoost,Marital,0.010161920714684334
1,XGBoost,Hist,0.007705192629815197
1,XGBoost,Laterality,0.0017867113344497369
1,XGBoost,Site,0.0
1,XGBoost,Grade,0.021217197096593865
1,XGBoost,TumorSize,0.00580681183696231
1,XGBoost,TStage,0.003573422668899806
1,XGBoost,NStage,0.030485762144053328
1,XGBoost,MStage,0.011948632049134237
1,XGBoost,DTT,0.0003350083752091178
1,XGBoost,Surgery,0.025237297599106274
1,XGBoost,Chemotherapy,0.0
1,XGBoost,Radiation,0.005583472920156176
1,LogisticRegression,Age,0.10445970995529384
1,LogisticRegression,Sex,0.021589793915603703
1,LogisticRegression,Race,0.0
1,LogisticRegression,Marital,0.013302802311634446
1,LogisticRegression,Hist,0.00861410969359968
1,LogisticRegression,Laterality,0.0005451968160507052
1,LogisticRegression,Site,0.0
1,LogisticRegression,Grade,0.009922582052120724
1,LogisticRegression,TumorSize,0.011340093773852394
1,LogisticRegression,TStage,0.012975684222004185
1,LogisticRegression,NStage,0.031076218514884024
1,LogisticRegression,MStage,0.016028786391887484
1,LogisticRegression,DTT,0.008068912877548975
1,LogisticRegression,Surgery,0.019299967288191066
1,LogisticRegression,Chemotherapy,0.0
1,LogisticRegression,Radiation,0.011558172500272678
2,RandomForest,Age,0.1292191155174337
2,RandomForest,Sex,0.007686309457502276
2,RandomForest,Race,0.0
2,RandomForest,Marital,0.013144703130221253
2,RandomForest,Hist,0.02194497048011576
2,RandomForest,Laterality,0.0
2,RandomForest,Site,0.0
2,RandomForest,Grade,0.02227915784783333
2,RandomForest,TumorSize,0.0
2,RandomForest,TStage,0.0016709368385871845
2,RandomForest,NStage,0.014370056811852177
2,RandomForest,MStage,0.004010248412609675
2,RandomForest,DTT,0.0036760610448922705
2,RandomForest,Surgery,0.0170435557535924
2,RandomForest,Chemotherapy,0.006795143143589089
2,RandomForest,Radiation,0.011139578923916335
2,XGBoost,Age,0.12605974969721426
2,XGBoost,Sex,0.008982640290674491
2,XGBoost,Race,0.0
2,XGBoost,Marital,0.011808639483245962
2,XGBoost,Hist,0.02018570851836926
2,XGBoost,Laterality,0.0
2,XGBoost,Site,0.0013120710536943965
2,XGBoost,Grade,0.027149777957206602
2,XGBoost,TumorSize,0.004037141703674153
2,XGBoost,TStage,0.011707710940654398
2,XGBoost,NStage,0.04198627371820776
2,XGBoost,MStage,0.01554299555914437
2,XGBoost,DTT,0.0016148566814698415
2,XGBoost,Surgery,0.036233346790472507
2,XGBoost,Chemotherapy,0.0018167137666535715
2,XGBoost,Radiation,0.0147355672184096
2,LogisticRegression,Age,0.1065809882561489
2,LogisticRegression,Sex,0.009195656990915499
2,LogisticRegression,Race,0.0
2,LogisticRegression,Marital,0.01551074673166423
2,LogisticRegression,Hist,0.007312209173498932
2,LogisticRegression,Laterality,0.0
2,LogisticRegression,Site,0.0015510746731665552
2,LogisticRegression,Grade,0.012187015289164943
2,LogisticRegression,TumorSize,0.0083093286062488
2,LogisticRegression,TStage,0.016729448260580614
2,LogisticRegression,NStage,0.03910923997341026
2,LogisticRegression,MStage,0.008863283846665322
2,LogisticRegression,DTT,0.0066474628849992395
2,LogisticRegression,Surgery,0.01229780633724828
2,LogisticRegression,Chemotherapy,0.0
2,LogisticRegression,Radiation,0.012740970529581463
3,RandomForest,Age,0.11402998953853308
3,RandomForest,Sex,0.015924677438102813
3,RandomForest,Race,0.007090549808206172
3,RandomForest,Marital,0.0017435778216899488
3,RandomForest,Hist,0.017435778216900875
3,RandomForest,Laterality,0.0
3,RandomForest,Site,0.0
3,RandomForest,Grade,0.0305707311402998
3,RandomForest,TumorSize,0.0
3,RandomForest,TStage,0.0
3,RandomForest,NStage,0.014529815180750957
3,RandomForest,MStage,0.004649540857840209
3,RandomForest,DTT,0.0
3,RandomForest,Surgery,0.010926421015924337
3,RandomForest,Chemotherapy,0.0
3,RandomForest,Radiation,0.0036033941648261018
3,XGBoost,Age,0.11492433982791031
3,XGBoost,Sex,0.015725447532390358
3,XGBoost,Race,0.002967065572148879
3,XGBoost,Marital,0.009197903273662204
3,XGBoost,Hist,0.015329838789437054
3,XGBoost,Laterality,0.0014835327860744396
